Year,Country,AverageTemperature,split
1899,Australia,27.9,0.9928696353336834
1901,Australia,28.4,0.9335164361773401
1902,Australia,26.5,0.22388751109220165
1903,Australia,25.4,-1.7293312940791408
1904,Australia,27.5,0.9576980784846226
1905,Australia,27.8,-0.4918454881363663
1906,Australia,26.3,0.170710052242104
1907,Australia,26.3,-0.3574686369503928
1908,Australia,27.2,-0.8422646291270618
1910,Australia,26.0,-1.3517682515792895
1911,Australia,26.9,1.0657870280113793
1913,Australia,27.6,0.7159389031828107
1914,Australia,27.8,0.37784291569376366
1915,Australia,27.2,-2.0003537555941917
1916,Australia,25.9,-0.812124370958224
1919,Australia,27.9,0.5909873914059554
1920,Australia,26.1,-1.2479390325563202
1921,Australia,26.8,0.37922521997903874
1922,Australia,26.4,-0.8186594528258333
1923,Australia,27.0,-0.6570968333380138
1925,Australia,27.9,0.3910254009399489
1926,Australia,26.2,1.8992536274503586
1927,Australia,26.5,0.5802079946931317
1928,Australia,27.6,-0.6898875063119783
1929,Australia,26.2,-0.14183636567715927
1930,Australia,26.3,0.6094887728921513
1932,Australia,26.8,1.461327498112648
1933,Australia,26.0,1.4966029026074708
1934,Australia,26.7,1.0819211380971885
1935,Australia,27.1,1.0705720568263393
1936,Australia,27.0,-0.22368007796320744
1937,Australia,27.4,-0.5845689680986381
1939,Australia,26.8,0.4769657350414161
1941,Australia,27.4,-0.4249675771078716
1942,Australia,26.7,-0.5491057617837319
1945,Australia,27.1,-0.10070507438820812
1946,Australia,27.2,0.14421881329668376
1947,Australia,26.3,-1.5690589072561296
1948,Australia,27.0,-0.6133586389334393
1949,Australia,27.2,0.7222681024177844
1950,Australia,26.5,-1.0502593856764681
1951,Australia,27.2,-0.5159907610543252
1952,Australia,26.8,0.15282464494793582
1953,Australia,27.5,0.37158287757864866
1954,Australia,27.0,0.7454167814202503
1955,Australia,26.3,-0.3900477407761065
1956,Australia,26.5,-1.4757338995333453
1957,Australia,27.6,0.3596089017582637
1958,Australia,26.7,0.6564795686201614
1959,Australia,26.3,1.365611491188922
1960,Australia,26.9,-0.6477794013434216
1961,Australia,27.6,-0.6313873599376351
1962,Australia,27.0,-0.0446052958191179
1964,Australia,26.0,-0.3305926554156001
1965,Australia,27.6,-2.0095866952288053
1966,Australia,26.1,1.9188328576883287
1967,Australia,26.8,0.5647885578348707
1968,Australia,26.3,-1.0078541727289299
1969,Australia,26.8,-0.37624139782969646
1970,Australia,27.2,-1.0537235019475388
1971,Australia,26.7,0.03591859970958129
1973,Australia,27.0,1.0775731927187375
1974,Australia,26.7,-0.34367227667052835
1975,Australia,26.8,-0.8260201827471632
1976,Australia,27.9,-0.5919655405631119
1977,Australia,27.8,-0.7678164765712462
1978,Australia,26.5,-0.8619590922966689
1979,Australia,28.5,-0.5289690330706123
1980,Australia,28.0,-0.23961310808056066
1981,Australia,27.7,0.6905727012012066
1982,Australia,28.2,0.30614470799113097
1983,Australia,27.4,-0.797278393428763
1985,Australia,27.2,-0.41048788999235164
1986,Australia,27.2,2.064857474614033
1987,Australia,27.4,-1.151588444809141
1988,Australia,27.0,0.04905461277620727
1989,Australia,27.6,1.03841034095902
1990,Australia,28.4,-0.001839133257154535
1991,Australia,27.1,-1.8555934208758411
1992,Australia,26.7,1.4904873159397531
1993,Australia,26.5,0.7063460911954621
1994,Australia,28.1,0.4545150464055836
1995,Australia,26.8,-0.6064829352594443
1996,Australia,27.3,0.7214496437231939
1997,Australia,28.1,1.1995651997917096
1998,Australia,27.2,0.06696062919159448
1999,Australia,26.1,-0.16034768067418412
2000,Australia,27.1,0.6229189142175156
2001,Australia,26.4,1.1898165159791432
2002,Australia,28.1,1.2023425871701785
2003,Australia,28.1,1.1668373727857824
2004,Australia,27.7,1.8123544771243099
2005,Australia,28.1,0.04040206908158503
2006,Australia,27.4,1.1703563199226197
2007,Australia,27.2,-0.2564230591972143
2008,Australia,27.2,1.2524363201209983
2009,Australia,28.0,0.07911544386400153
2010,Australia,26.6,0.18325309292135522
2011,Australia,26.7,0.6585906594425271
2012,Australia,28.4,-0.3714131736679146
1833,Brazil,25.7,-1.154507180062453
1834,Brazil,25.6,1.1107107845983117
1835,Brazil,23.4,0.26817963529197586
1836,Brazil,25.0,1.8395060552320408
1837,Brazil,24.7,0.8799879883778442
1838,Brazil,25.0,-0.22979559146853804
1839,Brazil,23.5,-0.28319400977912695
1840,Brazil,24.7,-0.5553889636093365
1841,Brazil,24.4,-0.19499210022121827
1842,Brazil,25.7,-2.035160570396388
1843,Brazil,26.1,-0.36137010107604084
1846,Brazil,25.7,-1.1993393092789626
1847,Brazil,23.9,0.07507222455399472
1848,Brazil,24.6,-1.770687552389546
1849,Brazil,23.9,-0.3927862471255922
1851,Brazil,24.9,0.4836681965608332
1852,Brazil,25.6,-1.1785240995471606
1853,Brazil,25.0,-0.7996331447620477
1854,Brazil,25.2,1.1925765320143535
1855,Brazil,23.8,0.7832370772793669
1856,Brazil,24.6,0.49013990735960855
1859,Brazil,24.7,0.42031742732487204
1860,Brazil,23.8,-0.3661840844614871
1861,Brazil,24.5,3.190825784939855
1863,Brazil,24.6,0.584602487899275
1864,Brazil,24.3,-1.029548836725567
1865,Brazil,24.4,-0.0524703727085601
1867,Brazil,25.6,0.9142229085296301
1868,Brazil,25.2,-1.0928859226403296
1869,Brazil,24.6,-0.2949770843446939
1870,Brazil,24.5,-0.7183251486413572
1871,Brazil,24.9,-0.8793345250894357
1872,Brazil,24.6,-0.41002604327533004
1873,Brazil,25.4,1.1191991419209417
1874,Brazil,24.6,-0.11632785076028886
1875,Brazil,24.9,0.9113925954666242
1877,Brazil,24.9,-1.4290014666466333
1878,Brazil,25.0,-1.745024494532636
1879,Brazil,24.3,-0.361600174656577
1880,Brazil,25.0,-1.1700982659006736
1881,Brazil,25.0,-1.0462551929206705
1882,Brazil,23.6,-0.46785621106697634
1883,Brazil,24.8,1.0621209595588765
1884,Brazil,24.6,1.6353880467101218
1885,Brazil,25.7,1.1411328021782419
1888,Brazil,25.6,0.3093413616863923
1889,Brazil,25.5,-0.4237533139813061
1890,Brazil,24.9,1.4139713871198814
1891,Brazil,25.0,-0.16929310088690663
1892,Brazil,24.5,-0.0748780565432116
1893,Brazil,25.1,-0.8971466380604735
1894,Brazil,25.0,1.210873578638065
1895,Brazil,25.6,-1.6310717836320028
1896,Brazil,25.7,-0.8330282231158869
1897,Brazil,25.5,-0.6986901891677963
1898,Brazil,24.7,-2.0838676332455206
1899,Brazil,25.1,-2.5451803034396274
1900,Brazil,25.4,0.37851997419578787
1901,Brazil,24.5,0.11104672962673799
1902,Brazil,25.5,0.5174045339348307
1903,Brazil,25.0,1.607039924160765
1904,Brazil,24.7,-0.8979797088864832
1905,Brazil,25.3,-0.20135613912150502
1906,Brazil,25.2,1.0941174022626408
1907,Brazil,25.1,0.16781435543186088
1908,Brazil,25.4,-0.6732317804830452
1910,Brazil,24.8,0.4877726736165507
1911,Brazil,25.3,-0.972470788499815
1912,Brazil,24.8,-1.6075704184522805
1913,Brazil,25.2,0.34633118931722595
1915,Brazil,25.1,-3.1185023478318104
1916,Brazil,24.5,1.701372571920538
1917,Brazil,24.4,0.6690164876796326
1918,Brazil,25.1,-0.2186677789143807
1919,Brazil,25.1,1.2058414635738575
1920,Brazil,24.8,0.454645690892444
1922,Brazil,24.8,0.6556610275577256
1923,Brazil,25.6,1.660500427737633
1924,Brazil,24.9,-1.306885958310837
1926,Brazil,25.4,-0.6356413198421994
1927,Brazil,25.7,1.4171435149159985
1928,Brazil,25.4,-0.6046164121044343
1929,Brazil,25.0,-1.4689124040613948
1930,Brazil,25.6,-0.12443238832464044
1931,Brazil,25.6,0.7031193392575226
1932,Brazil,25.6,-0.05671623648281012
1933,Brazil,25.2,-0.6614957758527058
1935,Brazil,25.8,-0.09920480475235424
1936,Brazil,25.6,-0.35182162131849526
1937,Brazil,25.5,0.756605671639446
1938,Brazil,25.3,-0.14655527483095604
1940,Brazil,26.1,1.0887076618045972
1941,Brazil,25.8,2.4707238336524533
1942,Brazil,25.2,0.5027744129438517
1943,Brazil,25.0,-0.40109341885684735
1944,Brazil,25.5,0.7841344042570672
1945,Brazil,25.1,1.9908583277092056
1946,Brazil,25.4,-1.927890410568651
1947,Brazil,24.9,-0.2020373584422673
1948,Brazil,25.3,1.6228321675384716
1949,Brazil,25.4,-1.122304464068712
1950,Brazil,25.2,-0.7869560031078694
1951,Brazil,25.5,0.04739560919804955
1952,Brazil,25.4,-1.3166874614879898
1953,Brazil,25.6,1.2943474438999913
1954,Brazil,25.4,0.5465421338279505
1955,Brazil,25.2,0.2922665886997229
1956,Brazil,25.1,-0.3888991243098125
1957,Brazil,26.0,0.37683055261729115
1958,Brazil,25.9,-0.5870287920827149
1959,Brazil,25.9,-1.519646776423631
1960,Brazil,25.4,-0.6195335886297761
1961,Brazil,25.4,-0.2757565191287558
1963,Brazil,25.7,-0.5133984302396613
1964,Brazil,25.1,0.2259145234808246
1965,Brazil,25.9,0.10233781505812439
1966,Brazil,25.9,1.7680043454239212
1968,Brazil,25.5,0.8587619610709895
1969,Brazil,25.5,0.7404097109351642
1971,Brazil,25.5,0.7524720388141095
1972,Brazil,25.9,-1.9844927293038335
1973,Brazil,25.3,-1.5437879570431536
1974,Brazil,24.8,1.0821359720355437
1975,Brazil,25.3,1.9838578306843166
1976,Brazil,25.6,0.7535041646591853
1977,Brazil,25.6,-1.7136616433783154
1978,Brazil,25.2,0.917105483146965
1979,Brazil,25.8,2.327414927922631
1980,Brazil,25.7,-2.062587872176541
1981,Brazil,25.7,-0.673983234898354
1982,Brazil,25.8,0.023501340631224846
1983,Brazil,25.5,-0.45712759385696833
1985,Brazil,25.6,-1.3739766945816898
1988,Brazil,25.5,0.008970377215056098
1989,Brazil,25.2,-1.7405632634698573
1990,Brazil,26.0,-1.6492752965693098
1991,Brazil,26.3,0.9382164730340549
1993,Brazil,26.0,-0.8135764762869757
1994,Brazil,26.3,-1.335816500570383
1995,Brazil,26.0,0.6714304781634886
1996,Brazil,26.3,0.19858118586137494
1997,Brazil,26.6,1.451984343118171
1998,Brazil,26.1,-0.29811642839715663
2001,Brazil,26.0,-2.106976137977077
2002,Brazil,26.4,0.40441891722393897
2003,Brazil,26.5,-1.2268226494034762
2004,Brazil,26.4,0.7567124702221626
2005,Brazil,25.7,-0.19581288745989403
2006,Brazil,26.3,-0.7908771981117408
2008,Brazil,25.8,0.02681333692166858
2009,Brazil,26.0,-0.28090185344879653
2010,Brazil,26.0,0.12033518728465131
2012,Brazil,26.6,1.2161073381852867
1768,Canada,-20.6,-0.9661375092085843
1775,Canada,-21.4,0.8591252141946653
1776,Canada,-18.1,-0.6922661355909153
1777,Canada,-20.3,0.6042755032793915
1778,Canada,-21.7,-0.3132595472067005
1779,Canada,-21.5,0.7432084010996199
1781,Canada,-18.8,-1.1450152020582771
1796,Canada,-23.1,0.007196903938032774
1811,Canada,-19.5,0.34370367182112743
1812,Canada,-21.4,-0.5587635677682469
1814,Canada,-16.3,0.6291108381673699
1815,Canada,-21.8,-1.6944027318490673
1817,Canada,-23.2,-1.5524675542187099
1818,Canada,-21.3,0.05978738437005302
1820,Canada,-22.4,0.6970718475942923
1821,Canada,-21.3,0.17827911462790577
1822,Canada,-24.0,-0.6667501372322854
1823,Canada,-21.3,0.7281874873565366
1824,Canada,-18.8,0.9269443344388245
1825,Canada,-20.1,-0.3935549030400026
1827,Canada,-20.8,0.6122066782184256
1828,Canada,-20.0,-1.0202724576621691
1829,Canada,-21.4,-0.6028484664062147
1830,Canada,-17.7,-1.5280369173743047
1831,Canada,-23.1,1.4854310911547302
1832,Canada,-20.3,0.14861953135373848
1833,Canada,-19.4,-1.098900091741619
1835,Canada,-22.5,-0.5950231302658465
1837,Canada,-20.5,0.21338590122337456
1838,Canada,-21.3,0.02805336373242994
1840,Canada,-20.8,0.050282836016260025
1841,Canada,-19.4,-0.6459388064621179
1842,Canada,-18.8,-1.9504532589047867
1843,Canada,-18.6,0.17662805713653149
1844,Canada,-20.3,-0.5644530084965286
1845,Canada,-21.2,0.15437192812240857
1846,Canada,-19.5,-1.120479436908266
1847,Canada,-20.5,0.9700480255852829
1848,Canada,-21.7,0.8320577810017342
1849,Canada,-22.5,-2.0345039080871294
1851,Canada,-20.7,-1.313939614593889
1852,Canada,-21.0,0.5926861609539221
1853,Canada,-19.9,-0.5217822876223874
1854,Canada,-20.1,0.8429158686379572
1855,Canada,-23.4,-1.7179937910610226
1856,Canada,-20.8,1.4569376394835947
1857,Canada,-18.7,0.4719872727994474
1858,Canada,-21.4,-1.4742105743045752
1859,Canada,-21.3,-0.052773899580961584
1860,Canada,-21.3,-0.5797890719712236
1861,Canada,-20.9,2.004863739546193
1862,Canada,-20.5,-2.2574689881873007
1863,Canada,-20.7,-0.10064024020578505
1864,Canada,-21.7,-1.0834235641622258
1865,Canada,-21.6,0.2015945851844464
1866,Canada,-20.0,0.29534759113565195
1867,Canada,-21.2,-0.5837660218801929
1868,Canada,-20.1,0.3133013180418969
1869,Canada,-19.2,-0.8451378177116272
1870,Canada,-19.0,-0.9337973920860503
1871,Canada,-21.9,0.35382541164289194
1872,Canada,-22.3,-0.3305361841445331
1873,Canada,-20.4,0.9727586182133774
1874,Canada,-19.6,-1.1710988632269952
1875,Canada,-21.1,-0.007057523750260215
1876,Canada,-20.7,0.9630513846443414
1877,Canada,-16.7,0.4149866745446064
1878,Canada,-17.9,-0.4006537175510356
1879,Canada,-24.5,-0.30431181985874123
1880,Canada,-22.4,0.38578124526622326
1881,Canada,-19.6,-1.1409662790343795
1882,Canada,-20.7,-1.559453978077268
1883,Canada,-23.2,-0.8776643433645254
1885,Canada,-19.6,-1.2657005074280343
1886,Canada,-22.4,-0.5275152159230483
1887,Canada,-22.6,-0.6592842633457752
1888,Canada,-18.7,-1.164756590285393
1889,Canada,-21.8,0.3099648873570821
1890,Canada,-20.2,2.61256985479137
1891,Canada,-18.6,2.409368556186737
1892,Canada,-19.4,1.980897085901143
1893,Canada,-23.9,-0.5790130890331324
1894,Canada,-18.9,-0.8522719859182245
1895,Canada,-20.1,-0.03394480769770358
1896,Canada,-19.5,0.3191271136134922
1897,Canada,-19.8,-0.42086708999122585
1898,Canada,-20.2,0.4346703808822826
1899,Canada,-19.6,-0.348422335881809
1900,Canada,-19.6,-2.02648769654063
1901,Canada,-18.6,1.134983780807719
1902,Canada,-22.2,-2.5787506028460156
1903,Canada,-19.3,0.5376834949230315
1904,Canada,-20.7,-1.2426772388932537
1905,Canada,-19.7,0.25378081622478366
1906,Canada,-22.4,-0.40800029059105425
1907,Canada,-18.4,0.5669200418702693
1910,Canada,-20.3,-1.3098261865737189
1911,Canada,-18.3,-0.8379679314860166
1912,Canada,-19.3,0.6365079198315288
1913,Canada,-17.5,-0.86945325144021
1914,Canada,-21.0,0.22532872624943182
1916,Canada,-21.7,0.09536253127717842
1917,Canada,-26.7,-0.32910900485045297
1918,Canada,-18.9,-1.2170329289072517
1919,Canada,-21.3,0.38075757306077945
1920,Canada,-19.4,-1.95491321231689
1921,Canada,-18.8,0.8635247282258167
1922,Canada,-22.9,0.3232289926383271
1923,Canada,-19.0,-0.9579995369117952
1924,Canada,-22.5,-0.19430439965393626
1925,Canada,-16.4,2.606439735545395
1926,Canada,-20.5,1.4762539007754252
1928,Canada,-15.9,1.558173540025064
1929,Canada,-21.6,0.413920740388151
1930,Canada,-16.4,0.396584513827767
1931,Canada,-17.9,0.9050018075393149
1932,Canada,-20.9,-0.6222134792050086
1933,Canada,-26.6,-0.10724386682178941
1934,Canada,-20.5,1.4054067864373676
1935,Canada,-19.1,0.7244033937923477
1936,Canada,-21.4,-0.6495535844759526
1937,Canada,-21.0,0.07823573259149667
1938,Canada,-17.5,0.6769494738158522
1940,Canada,-19.3,0.23121583883185426
1941,Canada,-19.1,-0.15076758047234975
1942,Canada,-21.9,0.3471079553307347
1943,Canada,-17.8,-0.29827272119169185
1944,Canada,-17.7,0.9385148685537793
1945,Canada,-20.7,1.219525096080769
1947,Canada,-17.4,0.026885599633518654
1948,Canada,-21.1,-0.8680200231253717
1949,Canada,-20.3,0.5432697384611825
1950,Canada,-18.4,-0.7420709067026818
1951,Canada,-22.4,-1.000139782477078
1952,Canada,-15.2,1.279968050259124
1953,Canada,-19.1,0.2738169860360562
1954,Canada,-17.8,1.2546366680338996
1955,Canada,-21.5,-0.19110405673832784
1956,Canada,-22.1,1.4912995077509652
1957,Canada,-19.7,-2.6541493696010305
1958,Canada,-20.7,0.38991720813655206
1959,Canada,-15.9,0.07861749721266022
1960,Canada,-18.1,0.12648466555551147
1962,Canada,-18.5,-0.3515717991331756
1964,Canada,-22.4,-0.42409883002430104
1965,Canada,-18.6,-1.2036920384251473
1966,Canada,-19.0,0.43180421695962096
1967,Canada,-17.5,0.1973977094768961
1968,Canada,-20.3,-0.22192612736327036
1969,Canada,-15.3,0.8032417590462875
1970,Canada,-22.9,-0.17414959329254445
1971,Canada,-22.6,2.045581251604015
1972,Canada,-23.6,-1.2271729851180786
1973,Canada,-19.0,-0.470925672346653
1974,Canada,-17.4,0.2827992612101685
1975,Canada,-21.2,0.319257672151761
1976,Canada,-21.3,0.5723647377674141
1977,Canada,-22.0,0.6203181745136764
1978,Canada,-19.3,0.20680590899719054
1979,Canada,-17.6,2.661377232008465
1980,Canada,-22.9,-0.06595493224530409
1981,Canada,-17.2,2.3491770319628094
1983,Canada,-22.7,0.5140461363106774
1984,Canada,-22.7,0.44613761238354704
1985,Canada,-18.0,-1.021431215936728
1986,Canada,-16.9,0.19703164591495903
1987,Canada,-15.0,0.5665026611600577
1988,Canada,-19.5,0.7032463368844726
1989,Canada,-21.0,0.25872271829749294
1990,Canada,-22.3,0.17943538271278098
1991,Canada,-19.5,1.94832063681838
1992,Canada,-20.4,-1.1822979667692268
1993,Canada,-18.1,1.3877088533092303
1994,Canada,-17.5,2.152928961127712
1995,Canada,-20.7,1.806302311124549
1996,Canada,-19.0,-1.2726629903613955
1997,Canada,-15.3,-1.8652554882770047
1998,Canada,-17.1,1.7143527641324696
1999,Canada,-16.4,2.0157274385737116
2003,Canada,-16.2,-0.2432549096944765
2004,Canada,-20.9,-0.033659354792502025
2005,Canada,-15.9,1.2293086286899002
2006,Canada,-14.5,1.252675832019329
2007,Canada,-19.7,-0.12098561863283665
2008,Canada,-21.8,0.10689838105458699
2009,Canada,-17.9,-0.8202639796152089
2011,Canada,-15.8,0.6683658498792411
2012,Canada,-19.2,0.15478767046800837
1820,China,-8.6,-0.5775215855399302
1821,China,-7.0,1.1922515696402627
1822,China,-8.7,-0.034965798445491164
1833,China,-6.9,-0.9421131896717586
1834,China,-6.1,1.0021667379792762
1835,China,-8.1,0.7295994616347105
1837,China,-6.2,0.6583813984407978
1838,China,-6.7,0.41983582995188473
1839,China,-9.3,0.2601245953429675
1840,China,-7.6,0.1727307441148168
1841,China,-8.2,-1.77245381219251
1842,China,-5.7,-0.2361676500442545
1843,China,-5.7,0.7451650795925843
1844,China,-7.8,1.6968597271555286
1845,China,-9.2,3.2613486557739204
1846,China,-5.6,0.044182298356091824
1847,China,-8.0,0.4581961808584924
1848,China,-6.3,0.7052964484474279
1849,China,-8.0,-0.47047038386278545
1850,China,-7.1,2.019561767807897
1851,China,-7.1,0.4575676341980166
1852,China,-6.4,0.03871350926005385
1854,China,-6.6,-1.5941470442278283
1855,China,-6.9,-0.1113998336177726
1856,China,-6.2,-1.1953368551328258
1857,China,-6.1,0.2738154551225444
1858,China,-7.6,-2.525135690235364
1859,China,-6.8,-1.0797347667269825
1860,China,-8.5,-0.24205562678758308
1861,China,-7.6,-0.9018564417044426
1862,China,-9.0,-0.4582563608709311
1863,China,-7.0,0.6720202685812802
1864,China,-8.7,-2.6377244065541428
1865,China,-7.6,-1.6943370603996226
1866,China,-5.3,0.7597555903667685
1867,China,-5.0,0.22184365653201582
1868,China,-6.7,-1.8553918079255465
1869,China,-8.3,0.4768745124649242
